Blend,Head,Type,Brand,POS,sw1,sw1_POS,sw2,sw2_POS,sw3,sw3_POS,Source,sw source,Definition,LengthDiffSyll,LengthDiffSeg,sw1_stress,sw2_stress,StressReduction,StressHypothesis,SegReduction,sw1length,sw1percent,sw1deleted,sw2length,sw2percent,sw2deleted,SegHypothesis
Chromonica,2,WR,yes,n,chrome,n,harmonica,n,,,Thurner (BTC),KS,harmonicas (H.S.S. Hohner),,,,,,,,,,,,,,
Chudge,both,LR,yes,n,cheese,n,fudge,n,,,Thurner (TND),,"cheese fudge (Original Herkimer County Cheese Co., Inc.)",,,,,,,,,,,,,,
Chunnel,2,LR,no,n,channel,n,tunnel,n,,,Thurner (DWP),,"a railroad tunnel beneath the English Channel, linking England with France",0,,1,1,0,0,1,5,0.8,1,5,0.8,1,0
chuppie,both,LR,no,n,Chicano,n,yuppie,n,,,Thurner (SL),,an upwardly mobile person of Hispanic descent,1,,0,1,1,0,1,6,0.166666667,5,4,0.75,1,1
churchianity,2,WR,no,n,church,n,Christianity,n,,,Thurner (WE),,excessive devotion to a particular church,-4,,0.5,1,0.5,1,0.5,3,1,0,11,0.636363636,4,0
churkey,both,LR,no,n,chicken,n,turkey,n,,,Thurner (OED),,a hypothetical hybrid resulting from the cross-breeding of a chicken and a turkey,0,,1,1,0,1,1,5,0.4,3,4,0.75,1,1
cigaroot,both,LR,no,n,cigarette,n,cheroot,n,,,Thurner (DAS),,a slang word for a cigarette,1,,1,1,0,1,1,6,0.833333333,1,4,0.75,1,0
cinemactor,2,WW,no,n,cinema,n,actor,n,,,Thurner (DNW),,"a movie actor. Normally used when describing an actor appearing exclusively in films, with little or no experience on the stage",1,,0.5,1,0.5,1,0.5,6,0.833333333,1,4,1,0,1
cinemactress,2,WW,no,n,cinema,n,actress,n,,,Thurner (DNW),,"a movie actress. Normally used when describing an actress appearing exclusively in films, with little or no experience on the stage",1,,0.5,1,0.5,1,0,6,1,0,6,1,0,0
cinemaddict,2,WW,no,n,cinema,n,addict,n,,,Thurner (DNW),,a person who habitually goes to see motion pictures,1,,0.5,1,0.5,1,0.5,6,0.833333333,1,5,1,0,1
cinemagpie,2,WW,no,n,cinema,n,magpie,n,,,Thurner (BAI),,a film actor or actress whose performance is characterized by excessive talk,1,,0.5,1,0.5,1,0.5,6,0.833333333,1,5,1,0,1
cinemalefactor,2,WW,no,n,cinema,n,malefactor,n,,,Thurner (TM),,a motion picture villain,-1,,0.5,1,0.5,1,0,6,1,0,9,1,0,0
cinemammoth,2,WW,no,n,cinema,n,mammoth,n,,,Thurner (BAI),,"an elaborately produced, extremely expensive motion picture",1,,0.5,1,0.5,1,0,6,1,0,5,1,0,0
cinemaniac,2,LW,no,n,cinema,n,maniac,n,,,Thurner (DNW),,a person obsessed with motion pictures or motion picture celebrities,0,,0.5,1,0.5,1,0.5,6,0.833333333,1,6,1,0,1
cinemenace,2,LW,no,n,cinema,n,menace,n,,,Thurner (BAI),,a movie villain,1,,0.5,1,0.5,1,0,6,1,0,5,1,0,0
cinemogul,2,LW,no,n,cinema,n,mogul,n,,,Thurner (NWE),,"a powerful person in the movie industr, particularly a producer at a major movie studio",1,,0.5,1,0.5,1,0,6,1,0,5,1,0,0
Cinnamint,both,LW,yes,n,cinnamon,n,mint,n,,,Thurner (BTC),KS,chewing gum (Clark Gum Co.),,,,,,,,,,,,,,
citrange,2,LR,no,n,citrus,n,orange,n,,,Thurner (FO),,"a hybrid variety of orange, produced by cross-breeding a hardytrifoliate orange with a common sweet orange. The result is a highly aromatic fruit, somewhat bitter to the taste",0,,1,1,0,0,1,6,0.833333333,1,5,0.8,1,0
citrangequat,both,WR,no,n,citrange,n,kumquat,n,,,Thurner (we,,"a citrus fruit which is the hybrid of a citrange and a kumquat, resulting in a small, acidic, limelike fruit",0,,1,0,1,1,0.5,7,1,0,7,0.714285714,2,0
Citruslim,2,WW,yes,v,citrus,n,slim,v,,,Thurner (TND),KS,an appetite suppressant (Source Naturals),,,,,,,,,,,,,,
clacket,both,LR,no,n,clatter,n,racket,n,,,Thurner (OED),,"to ""clack"" or make noise like a hen; to chatter",0,,1,1,0,1,1,5,0.8,1,5,0.8,1,0
Clamato,both,WR,yes,n,clam,n,tomato,n,,,Thurner (BTC),KS,clam and tomato juice (Motts USA),,,,,,,,,,,,,,
clamburger,2,WR,no,n,clam,n,hamburger,n,,,Thurner (AL),,a hamburger patty containing ground or chopped clams,-2,,1,1,0,0,0.5,4,1,0,7,0.857142857,1,0
clantastical,both,LR,no,adj,clandestine,adj,fantastical,adj,,,Thurner (BL),,pertaining to a hidden or imaginary phenomenon,-1,,1,1,0,1,1,10,0.7,3,11,0.909090909,1,1
clavicylinder,both,LW,no,n,clavichord,n,cylinder,n,,,Thurner (MI),,"a friction bar instrument in the shape of a square piano, invented in 1799. Clavicylinder music is produced by depressing keys on a keyboard, causing bars of graduated lengths to press against a wet glass cylinder rotated by a foot treadle",0,,0.5,1,0.5,0,0.5,9,0.666666667,3,7,1,0,1
claviola,both,LW,no,n,clavichord,n,viola,n,,,Thurner (MI),,"a keyboard instrument in the shape of an upright piano, featuring metal strings sounded by a continuous bow",0,,1,1,0,1,0.5,9,0.555555556,4,5,1,0,1
Cleanamel,2,WR,yes,n,clean,adj,enamel,n,,,Thurner (BTC),KS,"enamel cleaner (J.N.T. Mfg. Co., Inc.)",,,,,,,,,,,,,,
clevertivity,2,WR,no,n,clever,adj,creativity,n,,,Thurner,,a tendency to be creative in a clever sort of way,-3,,0.5,1,0.5,1,0.5,5,1,0,10,0.7,3,0
climatype,2,WW,no,n,climate,n,type,n,,,Thurner (WE),,a variety of plant or animal life which occurs as a distinct species because of the effects of climate or other environmental factors,1,,1,0.5,0.5,0,0,6,1,0,3,1,0,0
clinicar,both,WL,no,n,clinic,n,car,n,,,Thurner (DNW),,a vehicle specially equipped and staffed to provide medical treatment in remote areas,1,,1,0.5,0.5,1,0,6,1,0,3,1,0,0
coastel,2,WR,no,n,coast,n,hotel,n,,,Thurner (BDC),,a barge or floating barracks equipped with sleeping accommodations and moored near a coast to provide convenient off-shore lodgings,-1,,0.5,1,0.5,1,0.5,4,1,0,5,0.8,1,0
Coca-Colonialism,2,LW,no,n,Coca-Cola,n,colonialism,n,,,Thurner (SE),,incorporation of American product and trademark names into a foreign language,-2,,0,1,1,1,0,8,1,0,12,1,0,0
cockapoo,both,LL,no,n,cocker spaniel,n,poodle,n,,,Thurner (WES),,a hybrid of the cocker spaniel and poodle,,,,,,,,,,,,,,
cocomat,2,LW,no,n,coconut,n,mat,n,,,Thurner (WE),,matting made of coconut fiber,2,,1,0.5,0.5,0,0.5,7,0.714285714,2,3,1,0,1
Cointainer,2,WR,yes,n,coin,n,container,n,,,Thurner (BTC),KS,coin holders and wrappers (Data-Link Corp.),,,,,,,,,,,,,,
Colorinse,2,WW,yes,n,color,n,rinse,n,,,Thurner (BTC),KS,hair-care products (The Neslemur Co.),,,,,,,,,,,,,,
coloroto,2,WW,no,n,color,adj,roto,n,,,Thurner (WE),,a rotogravure image that is printed in more than one color,0,,0.5,1,0.5,1,0.5,4,1,0,4,0.75,1,0
Comfitables,both,embed,yes,n,comfortables,n,fit,v,,,Thurner (BTC),KS,men's underwear (Hanes Hosiery),,,,,,,,,,,,,,
commershills,1,orth,no,n,commercials,n,shills,n,,,Thurner (WW),,"personal appearances by celebrities in television commercials, selling products the celebrities may or may not actually use",,,,,,,,,,,,,,
Communicards,2,LW,yes,n,communication,n,cards,n,,,Thurner (BTC),KS,"language materials (Communication Skill Builders, Inc.)",,,,,,,,,,,,,,
communiversity,2,WW,no,n,commune,v,university,n,,,Thurner (OWW),,a university organize and managed according to the egalitarian standards of a commune,-3,,0.5,1,0.5,1,0,6,1,0,10,1,0,0
commyrot,2,WR,no,n,commie,n,tommyrot,n,,,Thurner (DA),,a derisive name for communist ideology or propaganda,-1,,1,1,0,0,0.5,4,1,0,7,0.857142857,1,0
compander,both,LR,no,n,compressor,n,expander,n,,,Thurner (BNE),,"a device which compresses transmission signals as they are sent, and also expands them upon reception",0,,1,1,0,1,1,8,0.625,3,8,0.75,2,1
compossible,both,LW,no,adj,compatible,adj,possible,adj,,,Thurner (TGP),,"a social or political condition in which coexistence between opposing groups is possible. An arrangement of this kind may not represent complete harmony, but it does at least allow a measure of tolerance among the parties involved",1,,1,1,0,1,0.5,10,0.8,2,7,1,0,1
compregnate,both,LR,no,v,compress,v,impregnate,v,,,Thurner (WE),,"to use heat in compressing thin sheets of wood impregnated with resins or chemical compounds into a dense, hard substance",-1,,1,1,0,1,1,7,0.857142857,1,9,0.888888889,1,1
compunications,2,LR,no,n,computer,n,communications,n,,,Thurner (BDC),,a communications system operated by or dependent upon computers,-2,,0.5,1,0.5,1,0.5,8,0.75,2,13,1,0,1
computeracy,2,WR,no,n,computer,n,literacy,n,,,Thurner (OED),,"knowledge of or experience with computers; the state of being ""computerate""",-1,,1,1,0,0,0.5,8,1,0,7,0.714285714,2,0
computerate,2,WR,no,adj,computer,n,literate,adj,,,Thurner (OED),,having knowledge of or experience with computers,0,,1,1,0,0,0.5,8,1,0,6,0.666666667,2,0
comrogue,both,LW,no,n,comrade,n,rogue,n,,,Thurner (BL),,a companion in roguery,1,,1,0.5,0.5,1,0.5,6,0.666666667,2,3,1,0,1
conceptacle,2,LR,no,n,conception,n,receptacle,n,,,Thurner (DST),,"any body cavity shaped like a flask, with a pore opening to the outside, and containing reproductive structures",-1,,1,1,0,0,1,9,0.777777778,2,10,0.9,1,1
conclusory,2,LR,no,adj,conclusion,n,illusory,adj,,,Thurner (FW),,"a decision, opinion, or judgment which appears to be based on facts, but actually is not",-1,,1,1,0,0,1,9,0.666666667,3,6,0.833333333,1,1
concubub,both,LR,no,n,concubine,n,bub,n,,,Thurner (WW),,"a slang term utilizing ""bub,"" in informal form of male address, to create a masculine version of the word ""concubine."" Concubub is used to designate the male half of a couple living together out of wedlock",2,,1,0.5,0.5,1,0.5,9,0.777777778,2,3,1,0,1
condomarinium,matrix,embed,no,n,condominium,n,marina,n,,,Thurner (DA),,a condominium complex where the residents are provided access to a boat marina,,,,,,,,,,,,,,
condorminium,2,WR,no,n,condor,n,condominium,n,,,Thurner (TM),,"the popular name given to a specially designed aviary at the San Diego Wild Animal Park, where rare California condors are cared for and bred",-3,,0.5,1,0.5,1,0.5,5,1,0,11,0.909090909,1,0
condotel,2,WR,no,n,condo,n,hotel,n,,,Thurner,,a hotel offering suites for purhcase under terms similar to that of a condominium,0,,0.5,1,0.5,1,0.5,5,1,0,5,0.8,1,0
confectionate,2,WR,no,adj,confection,n,affectionate,adj,,,Thurner (FW),,sweetly affectionate,-1,,1,1,0,0,0,9,1,0,9,1,0,0
congloperator,2,LW,no,n,conglomerate,n,operator,n,,,Thurner (TGP),,a derisive name given to the chief executive of a multinational corporation when that person is distinguished by his lack of competence,0,,1,1,0,0,0.5,10,0.8,2,6,1,0,1
consloperator,2,LWW,no,n,conglomerate,n,slop,n,operator,n,Thurner (TGP),KS,a derisive name given to the chief executive of a multinational corporation when that person is distinguished by his lack of competence,,,,,,,,,,,,,,
copelessness,2,WR,no,n,cope,v,hopelessness,n,,,Thurner (DNW),,a psychological condition characterized by a sense of helplessness and an inability to cope with life,-2,,1,1,0,0,0.5,3,1,0,9,0.888888889,1,0
Cornfetti,both,WR,yes,n,corn,n,confetti,n,,,Thurner (BTC),KS,"popcorn (National Oats Co., Inc.)",,,,,,,,,,,,,,
cornucopius,2,LW,no,adj,cornucopia,n,copious,adj,,,Thurner (OED),,abundant,2,,1,1,0,0,0,10,1,0,6,1,0,0
Correctext,2,WW,yes,n,correct,adj,text,n,,,Thurner (BTC),KS,computer software (Houghton Mifflin Co.),,,,,,,,,,,,,,
correctify,both,WW,no,v,correct,v,rectify,v,,,Thurner (OED),,to correct,-1,,1,1,0,1,0.5,5,1,0,7,0.857142857,1,0
corruppie,2,LR,no,n,corrupt,adj,yuppie,n,,,Thurner (NW),,an ambitious yuppie who would abandon any standard of moral behavior to achieve success,0,,1,1,0,0,1,5,0.8,1,4,0.75,1,0
cosmoceutical,both,LR,no,adj,cosmetic,adj,pharmaceutical,adj,,,Thurner (NWD),,a cosmetic prescribed by doctors to help improve the health and appearance of a patient's skin,-2,,0,1,1,0,1,8,0.875,1,12,0.833333333,2,0
Costumakers,2,WW,yes,n,costume,n,makers,n,,,Thurner (BTC),KS,"craft products (Blumenthal & Co., Inc.)",,,,,,,,,,,,,,
costumary,2,WR,no,adj,costume,n,customary,adj,,,Thurner (OED),,of or belonging to a costume,-2,,1,1,0,0,0.5,6,1,0,9,0.777777778,2,0
craisin,2,LW,no,n,cranberry,n,raisin,n,,,Thurner,,"a cranberry which has been dried and sweetened for use in breakfast cereals, or as a snack food",1,,1,1,0,0,0.5,8,0.375,5,5,1,0,1
crant,2,LR,no,n,cover,n,grant,n,,,Thurner (JA),,a government grant awarded to a private group under a fake project title so that the money can eventually be used as funding for covert intelligence operations,1,,1,1,0,0,1,4,0.25,3,5,0.8,1,1
Crantastic,2,LR,yes,adj,cranberry,n,fantastic,adj,,,Thurner (BTC),KS,"cranberry juice drink (Ocean Spray Cranberries, Inc.)",,,,,,,,,,,,,,
Crawligator,2,WR,yes,n,crawl,v,alligator,n,,,Thurner (BTC),KS,an infant's toy (Creative Playthings),,,,,,,,,,,,,,
Creamassage,1,WW,yes,n,cream,n,massage,n/v,,,Thurner (BTC),KS,body rub (Stanlabs Pharmaceuticals Co.),,,,,,,,,,,,,,
Creamedic,1,WW,yes,n,cream,n,medic,n,,,Thurner (BTC),KS,antiseptic soap (Harley Chemicals),,,,,,,,,,,,,,
cremains,2,LW,no,n,cremation,n,remains,n,,,Thurner (WE),,human ashes; the residue that is left after a cremation,1,,1,1,0,0,0.5,8,0.75,2,6,1,0,1
cricketiquette,2,WW,no,n,cricket,n,etiquette,n,,,Thurner (TM),,traditional rules of conduct regulating behavior while attending or participating in a cricket match,-1,,0.5,1,0.5,1,0,6,1,0,6,1,0,0
Crinkelastic,2,WW,yes,n,crinkle,n,elastic,n,,,Thurner (BTC),KS,"knit goods (Jantzen, Inc.)",,,,,,,,,,,,,,
criticular,both,LR,no,adj,critical,adj,particular,adj,,,Thurner (BL),,selective; discriminating,-1,,0,1,1,0,0.5,8,1,0,9,0.777777778,2,0
croissandwich,2,LW,no,n,croissant,n,sandwich,n,,,Thurner,,a sandwich made by stuffing slices of meat or other filling into a croissant,0,,1,1,0,0,0.5,7,0.714285714,2,7,1,0,1
crough,both,LR,no,n,crest,n,trough,n,,,Thurner (MBN),,a point midway between the crest and the trough of a wave,0,,1,1,0,1,1,5,0.4,3,4,0.25,3,0
cruical,both,LR,no,adj,crucial,adj,critical,adj,,,Thurner (BL),,crucial; critical,-1,,1,1,0,1,1,6,0.833333333,1,8,0.75,2,0
cruisine,2,LR,no,n,cruise,n,cuisine,n,,,Thurner,,the food served to passengers on a cruise ship,-1,,0.5,1,0.5,1,0.5,4,1,0,6,0.666666667,2,0
Crunchips,2,WW,yes,n,crunch,n,chips,n,,,Thurner (BTC),KS,"snack food (Pepsico, Inc.)",,,,,,,,,,,,,,
cubangle,2,WW,no,n,cube,n,angle,n,,,Thurner (OED),,"the solid angle of a cube, formed by three edges meeting at right angles",-1,,0.5,1,0.5,1,0,4,1,0,5,1,0,0
cultivar,2,LL,no,n,cultivated,adj,variety,n,,,Thurner (WE),,an organism resulting from cultivation; a cultivated variety,,,,,,,,,,,,,,
curfloozie,2,LW,no,n,curfew,n,floozie,n,,,Thurner (LWW),,"a young woman of dubious morals who exploited the wartime curfew established in American cities in 1945, ordering the closing of all places of entertainment at midnight. The ""lively social interaction"" which would occur when thousands of women and servicement were put out into the street at the same time was acknowledged by this coinage in the New York Daily News",0,,0,1,1,1,0.5,5,0.8,1,5,1,0,1
curvessence,2,WW,no,n,curve,n,essence,n,,,Thurner (BAI),,an advertising coinage describing the flattering feminine curves which are supposed to result from the wearing of a particular garment,-1,,0,1,1,1,0,3,1,0,5,1,0,0
daffynition,2,WR,no,n,daffy,adj,definition,n,,,Thurner (WWA),,a silly or humorous definition of a word or phrase,-2,,0.5,1,0.5,1,0.5,4,1,0,9,0.777777778,2,0
daiquirita,both,WR,no,n,daiquiri,n,margarita,n,,,Thurner,,a daiquiri made with tequila instead of rum,-1,,0.5,1,0.5,0,0.5,5,1,0,8,0.5,4,0
Dakoming,both,LR,no,n,Dakota,n,Wyoming,n,,,Thurner (AL),,"the region encompassing either side of the state line between Wyoming and South Dakota, including the Black Hills",0,,1,1,0,1,1,6,0.666666667,2,6,0.666666667,2,0
dancercise,both,WR,no,n,dance,n,exercise,n,,,Thurner (NWD),,"a form of conditioning exercise involving rhythmic dancing to music, usually performed in a group",-2,,1,1,0,1,0.5,4,1,0,7,0.714285714,2,0
dastardice,2,WR,no,n,dastard,n,cowardice,n,,,Thurner (BL),,cowardice. Coined by English novelist Samuel Richardson,-1,,1,1,0,0,0.5,6,1,0,6,0.666666667,2,0
datamation,2,WR,no,n,data,n,automation,n,,,Thurner (JA),,"the technique of automated data storage, retrieval, and transfer",-2,,0.5,1,0.5,1,0.5,4,1,0,8,0.875,1,0
dawk,both,LR,no,n,dove,n,hawk,n,,,Thurner (BNW),,"a blend word popular during the Vietnam War, when it was used to describe persons who would not take a position either supporting or opposing the war",0,,1,1,0,1,1,3,0.333333333,2,3,0.666666667,1,1
debutantrum,2,LW,no,n,debutante,n,tantrum,n,,,Thurner (FW),,an outburst of bad temper by a young woman in fashionable society,1,,1,1,0,0,0.5,9,0.888888889,1,7,1,0,1
debutramp,both,LW,no,n,debutante,n,tramp,n,,,Thurner (WW),,a young woman who seeks social status through promiscuous behavior. Coined by Walter Winchell,2,,1,1,0,1,0.5,9,0.666666667,3,5,1,0,1
decathlete,2,LW,no,n,decathlon,n,athlete,n,,,Thurner (WES),,an athlete who compete in the decathlon,1,,1,0,1,0,0.5,8,0.75,2,5,1,0,1
deceleron,2,LR,no,n,decelerate,v,aileron,n,,,Thurner (WE),,"a movable surface mounted on the wing of an airplane, combining the functions of an aileron and an air brake controlling the plane's speed",1,,1,1,0,0,1,8,0.75,2,5,0.8,1,1
Decoraids,2,LW,yes,n,decorate,v,aids,n,,,Thurner (BTC),KS,decorations (Coronet Merchandise Corp.),,,,,,,,,,,,,,
decoreographer,2,WW,no,n,decor,n,choreographer,n,,,Thurner (DNW),,the person responsible for designing or positioning scenery on a theatrical stage,-3,,0.5,1,0.5,1,0,5,1,0,10,1,0,0
decrassify,matrix,embed,no,v,declassify,v,crass,adj,,,Thurner (TGP),,the editing of rude or objectionable material from publications such as news releases or transcripts prior to their release,,,,,,,,,,,,,,
Defendamins,2,WR,yes,n,defend,v,vitamins,n,,,Thurner (BTC),KS,"vitamins (Nature's Way Products, Inc.)",,,,,,,,,,,,,,
deformeter,2,LW,no,n,deform,v,meter,n,,,Thurner (WE),sw1,an instrument for measuring minute deformations in structural materials,0,,1,0.5,0.5,0,0,6,1,0,4,1,0,0
Delicare,both,LW,yes,n,delicate,adj,care,n,,,Thurner (BTC),KS,"cold water detergent (Beecham, Inc.)",,,,,,,,,,,,,,
Delicaseas,1,orth,yes,n,delicacies,n,seas,n,,,Thurner (BTC),KS,"prepared seafood entrees (Kiban Products International, Inc.)",,,,,,,,,,,,,,
delushious,both,LW,no,adj,delicious,adj,luscious,adj,,,Thurner (DS),,pertaining to something that is remarkably delicious in taste,1,,1,1,0,1,0.5,7,0.714285714,2,5,1,0,1
Democracity,2,LW,yes,n,democracy,n,city,n,,,Thurner,,"a hypothetical planned city of the future, portrayed in an elaborate scale model by background film projection and music and featured in the United States exhibition at the New York World's Fair in 1939",,,,,,,,,,,,,,
democrapic,matrix,embed,no,adj,democratic,adj,crap,n,,,Thurner (WO),,"pertaining to a form of political hypocrisy, in whih a leader expresses earnest support for democratic principles, and yet demonstrates a complete lack of tolerance for those same principles the moment they are perceived as a threat to his political dominance",,,,,,,,,,,,,,
demonagerie,2,WW,no,n,demon,n,menagerie,n,,,Thurner (OED),,a diverse gathering of demons,-2,,0.5,1,0.5,1,0,5,1,0,7,1,0,0
Dependabolt,2,LW,yes,n,dependable,adj,bolt,n,,,Thurner (BTC),KS,anchor bolts (ITW Ramset/Red Head),,,,,,,,,,,,,,
depicture,both,WW,no,v,depict,v,picture,v,,,Thurner (WE),,to depict; to imagine,0,,1,1,0,1,0.5,6,0.833333333,1,5,1,0,1
dermabrasion,2,LW,no,n,dermal,adj,abrasion,n,,,Thurner (OED),,removal of surface layers of skin by means of an abrasive rotary tool,-1,,1,0.5,0.5,0,0.5,5,0.8,1,7,1,0,1
Dermassage,2,LW,yes,n,dermal,adj,massage,n,,,Thurner (BTC),KS,medicated skin cream (Colgate-Palmolive Co.),,,,,,,,,,,,,,
Deskretary,both,WR,yes,n,desk,n,secretary,n,,,Thurner (BTC),KS,"Desk calendars (Ad-A-Day Co., Inc.)",,,,,,,,,,,,,,
detectifiction,2,LW,no,n,detective,n,fiction,n,,,Thurner (TM),,fiction dealing with the activities of criminals and criminal investigators,1,,1,0.5,0.5,0,0.5,8,0.875,1,6,1,0,1
diesohol,both,LR,no,n,diesel,n,alcohol,n,,,Thurner (BAR),,"a mixture of diesel oil and ethyl alcohol, used as a fuel in diesel engines",-1,,1,1,0,1,0.5,5,1,0,7,0.571428571,3,0
Dinersaurs,2,LR,yes,n,diner,n,dinosaurs,n,,,Thurner (BTC),KS,breakfast cereal (Ralston Purina Co.),,,,,,,,,,,,,,
dingle,both,LR,no,adj,divorced,adj,single,adj,,,Thurner (WW),,"a person who has again become eligible for marriage because of a divorce, dingle being considered a more polite form of address than the term ""divorced""",0,,0,1,1,0,1,7,0.285714286,5,6,0.833333333,1,1
Dinosnores,1,LW,yes,n,dinosaurs,n,snores,n,,,Thurner (TND),KS,"stuffed animals (Commonwealth Toy & Novelty Co., Inc.)",,,,,,,,,,,,,,
diplonomics,2,LR,no,n,diplomacy,n,economics,n,,,Thurner (JO),,the use of economic policies to achieve diplomatic goals,0,,0,1,1,1,1,9,0.666666667,3,9,0.777777778,2,1
disastrophe,both,LR,no,n,disaster,n,catastrophe,n,,,Thurner (BL),,a disaster of catastrophic proportions,-1,,1,1,0,1,1,7,0.857142857,1,10,0.7,3,0
Discabinet,2,WW,yes,n,disc,n,cabinet,n,,,Thurner (BTC),KS,"record cabinets (wallach & Associates, Inc.)",,,,,,,,,,,,,,
Disclean,2,WW,yes,v,disc,n,clean,v,,,Thurner (BTC),KS,"disc-drive cleaning system (Discwasher, Inc.)",,,,,,,,,,,,,,
Dishtergent,2,WR,yes,n,dish,n,detergent,n,,,Thurner (BTC),KS,dishwashing detergent (Harley Chemicals),,,,,,,,,,,,,,
Dixican,2,WR,no,n,Dixie,n,Republican,n,,,Thurner (BNW),,a member of the Republican Party from one of the southern states,-2,,1,1,0,0,0.5,5,1,0,10,0.4,6,0
Dixiecrats,2,WR,no,n,Dixie,n,Democrats,n,,,Thurner (WE),,one of a group of southern Democrats who abandoned the Democratic Party when it chose to advocate civil rights legislation during the presidential campaign of 1948,-1,,1,1,0,0,0.5,5,1,0,9,0.666666667,3,0
docutainment,both,LR,no,n,documentary,n,entertainment,n,,,Thurner (BDC),,a television program presenting factual information in a dramatic or theatrical manner,1,,1,1,0,1,1,11,0.727272727,3,11,0.636363636,4,0
Dogloo,2,WR,yes,n,dog,n,igloo,n,,,Thurner (BTC),KS,pet shelters (Igloo Dog Homes),,,,,,,,,,,,,,
doitrified,both,LR,no,adj,doited,adj,petrified,adj,,,Thurner (WE),,"dazed to the point of immobility. Doited is a Scottish dialect word, meaning confused",-1,,1,1,0,1,1,5,0.8,1,8,0.75,2,0
dolfan,2,LW,no,n,Dolphin,n,fan,n,,,Thurner,,a fan of the Miami Dophins football team,1,,1,0.5,0.5,0,0.5,6,0.833333333,1,3,1,0,1
Domebrella,2,WR,yes,n,dome,n,umbrella,n,,,Thurner (BTC),KS,umbrellas (Domebrella),,,,,,,,,,,,,,
donkophant,both,LR,no,n,donkey,n,elephant,n,,,Thurner (BL),,"a name coined by political cartoonists to describe an animal which is a cross between a donkey, representing the Democratic Party, and an elephant, the symbol of the Republican Party. In 1911, when the word was first used, the two parties held positions that were virtually the same regarding many national issues",-1,,1,1,0,1,1,5,0.8,1,7,0.714285714,2,0
dorgi,both,LR,no,n,dachshund,n,corgi,n,,,Thurner (FW),,the offspring of a dachshund and a corgi,0,,1,1,0,1,1,8,0.125,7,5,0.8,1,1
dormantory,2,WR,no,n,dormant,adj,dormitory,n,,,Thurner,,a place where bodies are kept in cold storage; a morgue,-2,,1,1,0,0,0,7,1,0,9,1,0,0
Dorsian,both,LR,yes,n,Dorset,n,Persian,n,,,Thurner (WE),,a hybrid of the Dorset Horn and Persian sheep,,,,,,,,,,,,,,
doubleton,2,WR,no,n,double,adj,singleton,n,,,Thurner (OED),,"in card games such as whist or bridge, when two cards of one suit are in a player's hand",-1,,1,1,0,0,0.5,5,1,0,9,0.555555556,4,0
Drainzyme,2,WR,yes,n,drain,v,enzyme,n,,,Thurner (BTC),KS,bacteria booster (Jancyn Mfg. Corp.),,,,,,,,,,,,,,
dramassassin,2,WW,no,n,drama,n,assassin,n,,,Thurner (BAI),,a theater critic notorious for a tendency to write harshly critical reviews,-1,,0.5,1,0.5,1,0,5,1,0,6,1,0,0
dramedy,both,WR,no,n,drama,n,comedy,n,,,Thurner,,"a film, play or television production combining the elements of a drama and a comedy",-1,,1,1,0,1,0.5,5,1,0,6,0.833333333,1,0
drismal,2,LR,no,adj,drizzle,n,dismal,adj,,,Thurner (TGP),,"pertaining to an extended period of rainy weather, so relentlessly gloomy that it becomes psychologically debilitating",0,,1,1,0,0,0,6,1,0,6,1,0,0
drizzerable,2,LR,no,adj,drizzle,n,miserable,adj,,,Thurner (DS),,a characteristic of weather that is unpleasantly damp and uncomfortable,-2,,1,1,0,0,0.5,6,1,0,8,0.875,1,0
droppie,2,LR,no,n,dropout,n,yuppie,n,,,Thurner (NW),,a yuppie who drops out of the competition of professional life to seek an alternative lifestyle,0,,1,1,0,0,1,6,0.666666667,2,4,0.5,2,0
drunch,2,LR,no,n,drinks,n,lunch,n,,,Thurner (SOL),,"a lunch consisting mostly of alcoholic drinks, a coinage attributed to Tallulah Bankhead",0,,1,1,0,0,1,6,0.333333333,4,4,0.75,1,1
Druriolanus,1,WR,yes,n,Drury,n,Coriolanus,n,,,Thurner (DS),,"a theatrical nickname for the Drury Lane Theatre in London, with reference to Shakespeare's play Coriolanus",,,,,,,,,,,,,,
Drynamite,2,WR,yes,n,dry,n,dynamite,n,,,Thurner (BTC),KS,"sump pumps (Goulds Pumps, Inc.)",,,,,,,,,,,,,,
Dualastic,2,WR,yes,n,dual,adj,elastic,n,,,Thurner (BTC),KS,elastic hosiery (Bell-Horn),,,,,,,,,,,,,,
Dulcitar,2,WR,yes,n,dulcet,adj,sitar,n,,,Thurner (BTC),KS,stringed instruments (Ledfords Musical Instruments),,,,,,,,,,,,,,
dumbfound,2,WR,no,v,dumb,adj,confound,v,,,Thurner (WE),,to strike dumb; to amaze,-1,,1,0,1,0,0.5,3,1,0,7,0.571428571,3,0
dumbfusion,2,WR,no,n,dumb,adj,confusion,n,,,Thurner (OE),,a state of confused stupidity,-2,,0.5,1,0.5,1,0.5,3,1,0,9,0.777777778,2,0
dunch,both,LR,no,n,dinner,n,lunch,n,,,Thurner (DS),,the practice of eating a complete dinner at lunchtime; an afternoon meal which functions as both lunch and dinner,1,,1,1,0,1,1,4,0.5,2,4,0.75,1,1
