jython,java,python,knight
kentuckiana,kentucky,indiana,knight
keytar,keyboard,guitar,knight
kidult,kid,adult,knight
kollywood,kodambakkam,hollywood,knight
konglish,korean,english,knight
kripkenstein,kripke,wittgenstein,knight
labradoodle,labrador,poodle,knight
liger,lion,tiger,knight
limon,lime,lemon,knight
linner,lunch,dinner,knight
linux,linus,unix,knight
literotica,literature,erotica,knight
lupper,lunch,supper,knight
machinema,machine,cinema,knight
malaysia,malaya,asia,knight
manbag,man,handbag,knight
manglish,malaysian,english,knight
manimal,man,animal,knight
manscaping,man,landscaping,knight
marchitecture,marketing,architecture,knight
masstige,mass,prestige,knight
mathlete,math,athlete,knight
mattergy,matter,energy,knight
meld,melt,weld,knight
melodyssey,melodic,odyssey,knight
meowse,meow,mouse,knight
merkozy,merkel,sarkozy,knight
metrosexual,metropolitan,heterosexual,knight
mexicali,mexico,cali,knight
michiana,michigan,indiana,knight
mimbo,male,bimbo,knight
mimsy,miserable,flimsy,knight
minja,midget,ninja,knight
mizzle,mist,drizzle,knight
mobisode,mobile,episode,knight
mobload,mobile,upload,knight
mocker,mod,rocker,knight
mockney,mock,cockney,knight
mocktail,mock,cocktail,knight
mockumentary,mock,documentary,knight
modem,modulator,demodulator,knight
mog,man,dog,knight
moobs,man,boobs,knight
moped,motor,pedal,knight
mornoon,morning,noon,knight
motel,motor,hotel,knight
mothic,mod,gothic,knight
mozilla,mosaic,godzilla,knight
multiplex,multiple,complex,knight
murderotica,murder,erotica,knight
murse,man,purse,knight
naco,nacho,taco,knight
narcoterrorism,narcotics,terrorism,knight
nastronaut,nasa,astronaut,knight
neither,not,either,knight
netiquette,net,etiquette,knight
netizen,net,citizen,knight
netocracy,net,aristocracy,knight
newrun,new,rerun,knight
nicorette,nicotine,cigarette,knight
ninjelephant,ninja,elephant,knight
nintendogs,nintendo,dogs,knight
nintendonitis,nintendo,tendonitis,knight
nontroversy,non,controversy,knight
nuyorican,newyork,puertorican,knight
odditorium,odd,auditorium,knight
opinuendo,opinion,innuendo,knight
pallywood,palestinian,hollywood,knight
parkade,parking,arcade,knight
pastafarian,pasta,rastafarian,knight
philantrophy,philanthropy,trophy,knight
phoneme,phonetics,scheme,knight
pictionary,picture,dictionary,knight
pinterest,pin,interest,knight
plarn,plastic,yarn,knight
pleather,plastic,leather,knight
plytanium,plywood,titanium,knight
podcast,pod,broadcast,knight
pornograffiti,pornography,graffiti,knight
portanol,portuguese,espanol,knight
posistor,positive,thermistor,knight
prangry,pregnant,angry,knight
prequel,pre,sequel,knight
prevacid,prevent,acid,knight
privoxy,private,proxy,knight
prosumer,producer,consumer,knight
quebexican,quebecois,mexican,knight
radome,radar,dome,knight
reaganomics,reagan,economics,knight
religulous,religion,ridiculous,knight
ringxiety,ring,anxiety,knight
rockumentary,rock,documentary,knight
rogernomics,roger,economics,knight
rubinomics,rubin,economics,knight
ruthanasia,ruth,euthanasia,knight
sacrilicious,sacrilege,delicious,knight
satisfice,satisfactory,suffice,knight
satisfries,satisfies,fries,knight
scanlation,scan,translation,knight
schnoodle,schnauzer,poodle,knight
screenager,screen,teenager,knight
scromlette,scrambled,omelette,knight
seussical,seuss,musical,knight
sexcapade,sex,escapade,knight
sexercise,sex,exercise,knight
sexile,sex,exile,knight
sexpert,sex,expert,knight
sexploitation,sex,exploitation,knight
sexplosion,sex,explosion,knight
sexting,sex,texting,knight
shart,shit,fart,knight
sheeple,sheep,people,knight
shockumentary,shock,documentary,knight
silastic,silicone,plastic,knight
singlish,singaporean,english,knight
skevanston,skokie,evanston,knight
skort,skirt,short,knight
skyjack,sky,hijack,knight
slanguage,slang,language,knight
slurve,slider,curve,knight
smark,smart,mark,knight
smaze,smoke,haze,knight
smelloscope,smell,telescope,knight
smog,smoke,fog,knight
snark,snide,remark,knight
snatiation,sneeze,satiation,knight
sony,sonus,sonny,knight
soundscape,sound,landscape,knight
spamalot,spam,camelot,knight
spamdexing,spam,indexing,knight
spanglish,spanish,english,knight
spectralert,spectral,alert,knight
spife,spoon,knife,knight
sporgery,spam,forgery,knight
spork,spoon,fork,knight
squiggle,squirm,wiggle,knight
squircle,square,circle,knight
stalkerazzi,stalker,paperazzi,knight
starchitect,star,architect,knight
staycation,stay,vacation,knight
streetball,street,basketball,knight
strunk,stoned,drunk,knight
swahinglish,swahili,english,knight
swapportunity,swap,opportunity,knight
swaption,swap,option,knight
swenglish,swedish,english,knight
taglish,tagalog,english,knight
tangelo,tangerine,pomelo,knight
tanglish,tamil,english,knight
tanorexia,tan,anorexia,knight
taxachusetts,tax,massachusetts,knight
tehrangeles,tehran,losangeles,knight
telematics,telecommunications,informatics,knight
televangelist,television,evangelist,knight
thermistor,thermal,resistor,knight
threepeat,three,repeat,knight
tigon,tiger,lion,knight
tofurkey,tofu,turkey,knight
tomacco,tomato,tobacco,knight
toonie,two,loonie,knight
transceiver,transmitter,receiver,knight
transistor,transfer,resistor,knight
transponder,transmitter,responder,knight
travelocity,travel,velocity,knight
treap,tree,heap,knight
triticale,triticum,secale,knight
troopergate,trooper,watergate,knight
twincest,twin,incest,knight
urinalysis,urine,analysis,knight
verizon,veritas,horizon,knight
vermonster,vermont,monster,knight
vietnamasian,vietnamese,asian,knight
vitamer,vitamin,isomer,knight
vitamin,vital,amine,knight
vlog,video,blog,knight
vomitrocious,vomit,atrocious,knight
voxel,volume,pixel,knight
wallaroo,wallaby,kangaroo,knight
waluigi,warui,luigi,knight
wario,warui,mario,knight
webcast,web,broadcast,knight
webinar,web,seminar,knight
webisode,web,episode,knight
wenglish,welsh,english,knight
wexis,westlaw,lexisnexis,knight
wholphin,whale,dolphin,knight
wigger,white,nigger,knight
wikiality,wiki,reality,knight
wikipedia,wiki,encyclopedia,knight
wikiquette,wikipedia,etiquette,knight
wiktionary,wiki,dictionary,knight
wintel,windows,intel,knight
wonkavator,wonka,elevator,knight
woon,wooden,spoon,knight
workaholic,work,alcoholic,knight
yestergay,yesterday,gay,knight
yinglish,yiddish,english,knight
yogalates,yoga,pilates,knight
youthanasia,youth,euthanasia,knight
yugopotamia,yugoslavia,mesopotamia,knight
zeitghost,zeitgeist,ghost,knight
zonkey,zebra,donkey,knight
zony,zebra,pony,knight
zorse,zebra,horse,knight
